Underlying Exposure Identifier,Loan Identifier,Unique Loan Identifier,Original Underlying Exposure Identifier,Original Obligor Identifier,New Underlying Exposure Identifier,New Obligor Identifier,Origination Dt,Maturity DATE,Original Principal Balance,Current Principal Balance GBP,Current Interest Rate,Original Loan To Value,Current Loan To Value,Current Valuation Amount,Current Valuation Date,Current Valuation Method,Post Code,Region ,Property Type ,tenure,Borrower Age (Youngest),Account Status,Redemption Date,Data Cut-Off Date,Interest Rate Type,Occupancy Type,Amortisation Type,Origination Channel,Purpose,Total Credit Limit,Number of Days in Arrears,Exposure Currency Denomination,Pool Addition Date,Date of Repurchase,Purchase Price,Arrears Balance,Default Amount,Default Date,Allocated Losses,Cumulative Recoveries,Litigation,Deposit Amount,Collateral Currency,Collateral Type,Original Collateral Identifier,New Collateral Identifier,Scheduled Principal Payment Frequency,Scheduled Interest Payment Frequency,Payment Due,Current Interest Rate Index,Current Interest Rate Index Tenor,Current Interest Rate Margin,Interest Rate Reset Interval,Interest Rate Cap,Interest Rate Floor,Prepayment Fee,Principal Grace Period End Date,Credit Impaired Obligor,Resident,Geographic Region Obligor,Employment Status
DEMO-0001,DEMO-0001,SYN-UID-0001,DEMO-0001,OBO-0001,DEMO-0001-N,OBL-0001,2025-06-07,2043-06-07,"161,928.00", £177334.06 ,7.108,0.346,0.3577,"468,000",2026-01-31,Full survey,B1 1AA,West Midlands,Detached House,Freehold,77,Active,,2026-01-31,Fixed,Owner Occupied,Interest roll-up,Direct,Home improvements,"170,024.40",0,GBP,2025-01-31,2025-01-31,"468,000",0,0,,0,0,N,0,GBP,manual,DEMO-0001-COLL-O,DEMO-0001-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,West Midlands,manual
DEMO-0002,DEMO-0002,SYN-UID-0002,DEMO-0002,OBO-0002,DEMO-0002-N,OBL-0002,2024-02-26,2042-02-26,"160,508.90","171,008.53",8.719,0.4471,0.4695,"359,000",2026-01-31,Full survey,NG1 5FS,East Midlands,detached,LEASEHOLD,74,Active,,2026-01-31,variable,Owner Occupied,Interest roll-up,IFA,Refinance ,"168,534.35",0,GBP,2025-01-31,2025-01-31,"359,000",0,0,,0,0,N,0,GBP,manual,DEMO-0002-COLL-O,DEMO-0002-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,East Midlands,manual
DEMO-0003,DEMO-0003,SYN-UID-0003,DEMO-0003,OBO-0003,DEMO-0003-N,OBL-0003,2025-04-26,2043-04-26,"82,976.40","79,698.36",8.014,0.3546,0.3381,"234,000",2026-01-31,Full survey,CF10 1EP,Wales,Semi Detached, leasehold ,74,Active,,2026-01-31,FIXED ,Owner Occupied,Interest roll-up,Direct,Equity release,"87,125.22",0,GBP,2025-01-31,2025-01-31,"234,000",0,0,,0,0,N,0,GBP,manual,DEMO-0003-COLL-O,DEMO-0003-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,Wales,manual
DEMO-0004,DEMO-0004,SYN-UID-0004,DEMO-0004,OBO-0004,DEMO-0004-N,OBL-0004,15/11/2025,2043-11-15,"186,435.20","196,804.85",8.213,0.4756,0.4745,"392,000",2026-01-31,Full survey,LS1 4AP,Yorkshire and The Humber,semi-detached house,Free hold,69,Active,,2026-01-31,Variable rate,Owner Occupied,Interest roll-up,Direct,Debt Consolidation,"195,756.96",0,GBP,2025-01-31,2025-01-31,"392,000",0,0,,0,0,N,0,GBP,manual,DEMO-0004-COLL-O,DEMO-0004-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,Yorkshire and The Humber,manual
DEMO-0005,DEMO-0005,SYN-UID-0005,DEMO-0005,OBO-0005,DEMO-0005-N,OBL-0005,2025-01-15,2043-01-15,"236,426.20","259,110.87",6.867,0.4738,0.502,"499,000",2026-01-31,Full survey,BS1 5AH,South West,Flat / Apartment,Freehold,78,Active,,2026-01-31,Fixed,Owner Occupied,Interest roll-up,Broker,Purchase Main Residence,"248,247.51",0,GBP,2025-01-31,2025-01-31,"499,000",0,0,,0,0,N,0,GBP,manual,DEMO-0005-COLL-O,DEMO-0005-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,South West,manual
DEMO-0006,DEMO-0006,SYN-UID-0006,DEMO-0006,OBO-0006,DEMO-0006-N,OBL-0006,2025-07-22,2043-07-22,"166,732.60","175,963.41",6.441 %,0.5162,0.5434,"323,000",2026-01-31,Full survey,CF10 1EP,Wales,flat,LEASEHOLD,78,Active,,2026-01-31,variable,Owner Occupied,Interest roll-up,Direct,Home improvements,"175,069.23",0,GBP,2025-01-31,2025-01-31,"323,000",0,0,,0,0,N,0,GBP,manual,DEMO-0006-COLL-O,DEMO-0006-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,Wales,manual
DEMO-0007,DEMO-0007,SYN-UID-0007,DEMO-0007,OBO-0007,DEMO-0007-N,OBL-0007,2024-09-02,2042-09-02,"66,625.00","71,985.73",9.001,0.325,0.3274,"205,000",2026-01-31,Full survey,RG1 2DP,South East,Bungalow, leasehold ,81,Active,,2026-01-31,FIXED ,Owner Occupied,Interest roll-up,Direct,Refinance ,"69,956.25",0,GBP,2025-01-31,2025-01-31,"205,000",0,0,,0,0,N,0,GBP,manual,DEMO-0007-COLL-O,DEMO-0007-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,South East,manual
DEMO-0008,DEMO-0008,SYN-UID-0008,DEMO-0008,OBO-0008,DEMO-0008-N,OBL-0008,2025-06-25,2043-06-25,"221,065.60", £241907.53 ,8.468,0.3976,0.3891,"556,000",2026-01-31,Full survey,SW1A 1AA,London,HOUSE,Free hold,65,Active,,2026-01-31,Variable rate,Owner Occupied,Interest roll-up,Direct,Equity release,"232,118.88",0,GBP,2025-01-31,2025-01-31,"556,000",0,0,,0,0,N,0,GBP,manual,DEMO-0008-COLL-O,DEMO-0008-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,London,manual
DEMO-0009,DEMO-0009,SYN-UID-0009,DEMO-0009,OBO-0009,DEMO-0009-N,OBL-0009,2025-11-15,2043-11-15,"55,883.80","56,207.24",6.974,0.3122,0.3348,"179,000",2026-01-31,Full survey,M1 1AE,North West,Detached House,Freehold,60,Redeemed,2025-12-15,2026-01-31,Fixed,Owner Occupied,Interest roll-up,IFA,Debt Consolidation,"58,677.99",15,GBP,2025-01-31,2025-01-31,"179,000",0,0,,0,0,N,0,GBP,manual,DEMO-0009-COLL-O,DEMO-0009-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,North West,manual
DEMO-0010,DEMO-0010,SYN-UID-0010,DEMO-0010,OBO-0010,DEMO-0010-N,OBL-0010,2024-08-18,2042-08-18,"189,173.60","198,435.68",7.28,0.4648,0.4493,"407,000",2026-01-31,Full survey,BS1 5AH,South West,detached,LEASEHOLD,78,Active,,2026-01-31,variable,Owner Occupied,Interest roll-up,Direct,Purchase Main Residence,"198,632.28",0,GBP,2025-01-31,2025-01-31,"407,000",0,0,,0,0,N,0,GBP,manual,DEMO-0010-COLL-O,DEMO-0010-COLL-N,Quarterly,Monthly,0,SONIA,1M,0,12,15,0,0,2025-12-31,N,Y,South West,manual
